Date,StrategyValue,Benchmark,Returns,Cummax,drawdown,Monat,monthly_returns,Benchmark_Returns
2012-11-02,234.01,97.69947568644113,-0.0042975065951834,235.02,-0.429750659518347,11,0.0,-0.0038925253955779393
2012-11-05,234.61,98.38138195789931,0.0025639929917526,235.02,-0.1744532380222945,11,0.0,0.006979630818559457
2012-11-06,235.03,98.91225011490752,0.0017902050210987,235.03,-0.0,11,0.0,0.0053960225648730376
2012-11-07,232.79,97.9050677928105,-0.0095306982087393,235.03,-0.953069820873935,11,0.0,-0.010182584269662898
2012-11-08,231.31,97.26172505343122,-0.0063576614115725,235.03,-1.5827766668084922,11,0.0,-0.006571087216248439
2012-11-09,231.79,96.07979423513316,0.0020751372616834,235.03,-1.3785474194783682,11,0.0,-0.01215206513814926
2012-11-12,232.98,96.20402200136776,0.0051339574614952,235.03,-0.8722290771390935,11,0.0,0.0012929645324861738
2012-11-13,233.26,95.8741978217568,0.0012018198987038,235.03,-0.7530953495298516,11,0.0,-0.003428382439211064
2012-11-14,231.77,95.31226553406661,-0.0063877218554402,235.03,-1.3870569714504493,11,0.0,-0.005861142001259756
2012-11-15,232.39,95.31226553406661,0.0026750657979892,235.03,-1.1232608603157108,11,0.0,0.0
2012-11-16,234.29,94.79584515663139,0.0081759111837858,235.03,-0.3148534229672846,11,0.0,-0.005418194337754367
2012-11-19,236.02,96.37065621207202,0.0073840112680867,236.02,-0.0,11,0.0,0.016612659055242007
2012-11-20,235.62,96.4835863072388,-0.0016947716295229,236.02,-0.1694771629522946,11,0.0,0.0011718307170003328
2012-11-21,235.62,96.71901760769335,0.0,236.02,-0.1694771629522946,11,0.0,0.002440117635188699
2012-11-23,236.53,97.29803471501911,0.0038621509209744,236.53,-0.0,11,0.0,0.0059865900383142545
2012-11-26,236.42,97.8518700525123,-0.0004650572866021,236.53,-0.046505728660218,11,0.0,0.005692153383316967
2012-11-27,236.53,97.87493496626027,0.0004652736655106,236.53,-0.0,11,0.0,0.0002357125493421819
2012-11-28,237.16,97.77142043206875,0.0026635099141758,237.16,-0.0,11,0.0,-0.001057620464598008
2012-11-29,237.78,99.19343113728596,0.002614268848035,237.78,-0.0,11,0.0,0.014544236945040812
2012-11-30,237.76,99.34083652417381,-8.411136344521619e-05,237.78,-0.0084111363445244,11,0.0176339667865099,0.0014860398032188193
2012-12-03,237.56,99.13066550190828,-0.0008411843876177,237.78,-0.0925224997897211,12,0.0,-0.002115655853314524
2012-12-04,237.95,99.08386159940503,0.0016416905202896,237.95,-0.0,12,0.0,-0.00047214353163360645
2012-12-05,237.92,99.16449242802949,-0.0001260769069132,237.95,-0.0126076906913221,12,0.0,0.0008137634860301279
2012-12-06,239.48,99.39359221010135,0.0065568258238062,239.48,-0.0,12,0.0,0.002310300556805922
2012-12-07,239.17,99.69792931754168,-0.0012944713546017,239.48,-0.1294471354601646,12,0.0,0.0030619389104784567
2012-12-10,240.25,99.96314734111537,0.0045156165070869,240.25,-0.0,12,0.0,0.0026602159682671545
2012-12-11,240.44,100.71864922689142,0.0007908428720082,240.44,-0.0,12,0.0,0.00755780410952811
2012-12-12,240.44,100.84273238536822,0.0,240.44,-0.0,12,0.0,0.0012319779845069156
2012-12-13,240.44,100.58589745685723,0.0,240.44,-0.0,12,0.0,-0.002546885853206615
2012-12-14,240.44,100.492263854384,0.0,240.44,-0.0,12,0.0,-0.0009308820107051252
2012-12-17,240.44,101.17845659717888,0.0,240.44,-0.0,12,0.0,0.006828314105742361
2012-12-18,240.44,102.13486523454252,0.0,240.44,-0.0,12,0.0,0.009452690518608975
2012-12-19,240.44,102.2783535199828,0.0,240.44,-0.0,12,0.0,0.0014048903389727307
2012-12-20,240.44,102.52393383371705,0.0,240.44,-0.0,12,0.0,0.0024010976446375842
2012-12-21,240.98,101.33704774197855,0.0022458825486606,240.98,-0.0,12,0.0,-0.01157667334208523
2012-12-24,240.75,101.25223706817243,-0.0009544360527844,240.98,-0.0954436052784421,12,0.0,-0.0008369167614006301
2012-12-26,240.43,100.97266347295428,-0.0013291796469365,240.98,-0.2282347082745385,12,0.0,-0.0027611596870685817
2012-12-27,240.82,100.33359928392682,0.0016220937487001,240.98,-0.0663955514980482,12,0.0,-0.006329081228986677
2012-12-28,240.47,99.40474819925764,-0.0014533676604933,240.98,-0.2116358204000294,12,0.0,-0.009257627467750718
2012-12-31,241.38,100.13946767095902,0.0037842558323284,241.38,-0.0,12,0.0152254374158815,0.007391190914025847
2013-01-02,242.82,103.70798782653286,0.005965697240865,242.82,-0.0,1,0.0,0.0356355015516896
2013-01-03,242.82,103.78057637037233,0.0,242.82,-0.0,1,0.0,0.0006999320434302181
2013-01-04,242.82,104.28938405254404,0.0,242.82,-0.0,1,0.0,0.004902725538504127
2013-01-07,242.96,104.12169733922885,0.0005765587678117,242.96,-0.0,1,0.0,-0.0016078982040080847
2013-01-08,242.74,103.98975730627723,-0.0009054988475468,242.96,-0.0905498847546916,1,0.0,-0.001267171361236663
2013-01-09,242.7,104.1766212008078,-0.0001647853670594,242.96,-0.1070135001646441,1,0.0,0.0017969451931714175
2013-01-10,242.68,104.49138941616387,-8.240626287592256e-05,242.96,-0.1152453078696086,1,0.0,0.0030214861235451362
2013-01-11,242.67,104.86085970909241,-4.120652711392392e-05,242.96,-0.1193612117221026,1,0.0,0.0035358922394745917
2013-01-14,242.68,105.1039016878496,4.120822516173739e-05,242.96,-0.1152453078696086,1,0.0,0.002317756877365351
2013-01-15,242.58,105.44453143333095,-0.0004120652711389,242.96,-0.1564043463944663,1,0.0,0.0032408858283206055
2013-01-16,242.53,105.36284576267651,-0.0002061175694616,242.96,-0.176983865656901,1,0.0,-0.0007746790615318355
2013-01-17,242.56,106.18613928405152,0.0001236960376036,242.96,-0.1646361540994425,1,0.0,0.007813888429223148
2013-01-18,242.26,106.39722189117337,-0.0012368073878628,242.96,-0.2881132696740274,1,0.0,0.0019878546159135535
2013-01-22,242.56,106.82326706862746,0.0012383389746553,242.96,-0.1646361540994425,1,0.0,0.004004288550784274
2013-01-23,242.55,106.88454129811163,-4.122691292873792e-05,242.96,-0.1687520579519248,1,0.0,0.0005736037772070546
2013-01-24,243.05,107.26620036588787,0.0020614306328592,243.05,-0.0,1,0.0,0.0035707602160330865
2013-01-25,243.45,108.25775636421248,0.0016457519029005,243.45,-0.0,1,0.0,0.009243881063581982
2013-01-28,243.74,108.30817184420584,0.0011912096939823,243.74,-0.0,1,0.0,0.00046569854841393976
2013-01-29,243.74,108.13361937488514,0.0,243.74,-0.0,1,0.0,-0.0016116278794898742
2013-01-30,243.74,107.85158137786122,0.0,243.74,-0.0,1,0.0,-0.0026082359829844304
2013-01-31,243.74,107.86974015758743,0.0,243.74,-0.0,1,0.0097771149225289,0.00016836822876609148
2013-02-01,243.74,109.04355762260558,0.0,243.74,-0.0,2,0.0,0.010881804881547996
2013-02-04,243.24,107.87124627682876,-0.0020513662098957,243.74,-0.205136620989579,2,0.0,-0.010750853799489257
2013-02-05,243.53,108.9025516365194,0.0011922381187303,243.74,-0.0861573808156264,2,0.0,0.009560521411275946
2013-02-06,243.76,108.8991522544941,0.0009444421631832,243.76,-0.0,2,0.0,-3.1214897853404366e-05
2013-02-07,243.54,108.63381113693981,-0.0009025270758122,243.76,-0.0902527075812269,2,0.0,-0.0024365765211302737
2013-02-08,243.48,109.34851683539033,-0.0002463661000245,243.76,-0.1148670823761081,2,0.0,0.006579035486010687
2013-02-11,243.32,109.46113436072326,-0.0006571381632988,243.76,-0.1805054151624539,2,0.0,0.0010298953162983793
